701672, 39146
702090, 39146
702091, 39146
25779161, 37982
25779173, 40523
25779174, 40523
25779189, 36932
25779197, 36932
25779199, 20000
25779203, 27862
25779221, 3572
26098008, 122
26098016, 77
26098027, 40025
26098045, 39764
26098097, 35889
26098113, 25460
26098166, 20152
26099529, 20152
26099532, 20152
26099533, 20152
26099536, 20152
26099537, 7792
26099542, 18470
26099544, 20152
26218622, 39967
26218631, 26100
26220949, 19126
26220951, 23009
26220970, 19126
26698357
26699785, 40463
26699799, 26576
26699807, 25386
26703423, 25386
26703426, 25386
26703433, 37179
26703434, 37179
26703435, 37666
26703510, 31934
26703625, 31934
26703636, 31934
26703638, 39219
26703640, 39219
26703646, 34478
26703648, 34478
26703650, 41201
26703891, 41160
26703916, 41160
26704134, 41160
26704140, 41160
26704147, 36292
26704159, 25373
26704163, 25373
26704168, 37300
26704169, 37300
26704178, 34478
26704186, 39219
26704188, 31934
26704211, 31934
26704212, 31934
26704221, 37666
26704226, 37179
26704233, 25386
26704235, 25386
26704238, 25386
26791860, 40463
26792807
26792815
26792817
26792886, 37982
26792889, 37982
26792901, 38232
26792906, 36932
26792911, 36932
26793269, 36932
26793388, 39764
26793478, 35686
26793636, 40024
26793983, 35894
26794001, 37338
26794425, 20152
26794449, 20152
26794464, 20152
26794474, 20152
26794487, 20152
26794508, 20152
26794523, 20152
26794540, 20152
26794541, 20152
26794543, 8103
26794544
26794545, 37193
26794546, 32720
26794549, 30741
26794550, 37122
26794555, 37122
26794556, 40884
26794558, 38107
26794571, 20732
26794572, 22986
26794577, 17256
26794582, 37122
26794583, 39712
26794584, 8073
26794585, 8073
26794589, 39712
26794590, 39712
26794592, 40884
26794593, 37122
26794594, 39712
26794595, 39712
26794602, 7809
26794603, 7738
26794604, 30759
26794605
26794608, 37193
26794613, 37193
26794614, 7962
26794619, 8029
26794620, 40243
26794623, 20152
26794624, 37122
26794625, 39712
26794626, 39712
26794627, 37122
26794629, 8073
26794631, 17256
26808041, 39712
26808042, 37193
26808044
26808049, 40619
26808050, 7873
26808051, 40619
26808054, 37182
26808055, 37182
26808056
26808637, 40884
26808641, 8460
26808646, 40884
26808648
26808649, 37122
26808650, 37441
26808653, 20015
26817935, 20152
26817937, 20152
26817972, 24440
26817974, 24440
26817975, 40953
26817976, 6268
26817980, 15710
26817984, 41098
27440208, 772
27440209, 772
27440211, 40780
27440212, 710
27440213, 32801
27440214, 32801
27440215, 763
27440217, 40780
27440218, 591
27440219, 30841
27440220, 30841
27440221, 30841
27440222, 40780
27440223, 40780
27440224, 26390
27440225, 40780
27440226, 40780
27440227, 40780
27440228, 622
27440229, 24068
27440233, 30841
27440234, 13871
27440235, 764
27440236, 764
27440237, 40780
27440240
27440242, 13871
27440247, 13871
27440248, 27309
27440253, 40780
27440254, 40780
27440256, 40780
27440477, 6096
27440479, 33104
27440480, 33104
27440481, 33104
27440482, 33104
27440483, 4254
27440556, 41275
27440557, 6097
27440558, 6097
27440563, 6244
27440564, 41275
27440565, 6242
27440566, 29685
27440570, 20152
27440571, 6155
27440572, 6129
27440573, 35398
27440574, 41275
27440575, 6242
27440577, 6129
27440579, 29685
27440580, 20152
27440581, 33222
27440582, 20152
27440585, 33104
27440586, 33104
27446488, 591
27446489
27446490, 29862
27446491
27446494
27446495, 29862
27446496
27446500, 40031
27446502, 40031
27446708, 683
27446709
27446710, 9910
27446719
27446720
27446756
27446758, 4349
27447116, 34398
27477580, 40780
27477586, 40780
27477590, 766
27477591, 4231
27477592, 40780
27477597, 4543
27721250, 40031
27728927, 2313
27728971, 4056
27728972, 4056
27729276, 35559
27729503, 40022
27729644, 27147
27729684, 27147
27729740, 27147
27729749, 27147
27729777, 27147
27729926, 1880
28289299, 628
28289310, 628
28289318, 40780
28289857, 733
28289874, 40780
28289897, 40780
28289974, 40780
28289985, 40780
28290013, 40780
28290256
28290265
28290271, 40780
28290277, 40780
28290281, 40780
28290286, 40780
28290292, 40780
28290296, 40780
